名称,评分,评价人数,导演,主演,上映日期,类型,简介
头脑特工队,8.8,748947,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,暂无主演信息,2015,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。
倩女幽魂,8.8,791669,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,爱情 奇幻 武侠 古装,暂无简介
阳光灿烂的日子,8.8,666612,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,剧情 爱情,暂无简介
完美的世界,9.1,345628,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,剧情 犯罪,暂无简介
小森林 夏秋篇,9.0,456614,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。
天使爱美丽,8.7,998258,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,剧情 喜剧 爱情,暂无简介
驯龙高手,8.8,819665,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,暂无主演信息,2010,动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。
新世界,8.9,498847,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,剧情 犯罪,要做就做得狠一点，这样才能活下去。
侧耳倾听,8.9,501789,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,剧情 爱情 动画,暂无简介
请以你的名字呼唤我,8.8,789535,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。
花样年华,8.8,745424,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,剧情 爱情,暂无简介
怪兽电力公司,8.8,737360,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,儿童 喜剧 动画 奇幻 冒险,暂无简介
傲慢与偏见,8.7,879150,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。
一个叫欧维的男人决定去死,8.9,537175,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,剧情,惠及一生的美丽。
教父3,9.0,411485,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,剧情 犯罪,暂无简介
玩具总动员3,8.9,566069,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。
幸福终点站,8.8,617330,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,喜剧 剧情 爱情,有时候幸福需要等一等。 
色，戒,8.7,911736,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,剧情 爱情 情色,假戏真情，爱欲深海
小森林 冬春篇,9.0,406480,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
哪吒闹海,9.2,292108,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,冒险 动画 奇幻,暂无简介
被解救的姜戈,8.8,661896,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,2012,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
釜山行,8.6,1298763,延尚昊 Sang-ho Yeon,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,动作 惊悚 灾难,揭露人性的丧尸题材力作。
九品芝麻官,8.8,755836,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,剧情 喜剧 古装,暂无简介
神偷奶爸,8.7,1014413,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。
萤火之森,8.8,586322,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,剧情 爱情 动画 奇幻,触不到的恋人。
告白,8.8,717011,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,2010,剧情 悬疑,没有一人完全善，也没有一人完全恶。
喜宴,9.0,405814,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,剧情 喜剧 爱情 同性 家庭,暂无简介
玛丽和马克思,9.0,445215,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,2009,剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,8.8,698662,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,2014,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,8.6,1463396,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,2018,动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。
大鱼,8.8,606458,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,剧情 爱情 奇幻 冒险,暂无简介
七武士,9.3,220308,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,动作 冒险 剧情,暂无简介
射雕英雄传之东成西就,8.7,692282,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,喜剧 奇幻 武侠 古装,暂无简介
惊魂记,9.0,335190,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,1960,悬疑 惊悚 恐怖,暂无简介
我是山姆,9.0,363421,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,2001,剧情 家庭,暂无简介
血战钢锯岭,8.7,832653,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,2016,剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。,8.5,1535199,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,2016,剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
阳光姐妹淘,8.8,620140,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
恐怖直播,8.7,703797,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,8.8,479740,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,暂无主演信息,2003,动作 科幻,暂无简介
背靠背，脸对脸,9.5,163859,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,1994,剧情,暂无简介
电锯惊魂,8.7,585137,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,悬疑 惊悚 恐怖,真相就在眼前。
三块广告牌,8.7,886468,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,2017,剧情 犯罪,怼天怼地，你走后，她与世界为敌。
小丑,8.7,1092999,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,2019,剧情 犯罪 惊悚,暂无简介
达拉斯买家俱乐部,8.8,487968,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,2013,剧情 传记 同性,Jared Leto的腿比女人还美！
心灵奇旅,8.7,1085180,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,动画 奇幻 音乐,暂无简介
谍影重重3,8.9,451520,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2007,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。
疯狂原始人,8.7,893643,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,暂无主演信息,2013,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。
绿里奇迹,8.9,369884,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,1999,犯罪 剧情 奇幻 悬疑,暂无简介
爱在午夜降临前,8.9,448618,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2013,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
无间道2,8.8,538398,刘伟强 / 麦兆辉,陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,剧情 犯罪 惊悚,暂无简介
上帝之城,9.0,322494,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,暂无主演信息,2002,犯罪 剧情,暂无简介
海街日记,8.8,496825,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,剧情 家庭,是枝裕和的家庭习作。
英雄本色,8.6,585242,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,剧情 动作 犯罪,暂无简介
风之谷,8.9,380202,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,动画 奇幻 冒险,暂无简介
疯狂的石头,8.6,891516,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,喜剧 犯罪,中国版《两杆大烟枪》。
心迷宫,8.7,585851,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
雨中曲,9.1,253645,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,1952,喜剧 歌舞 爱情,暂无简介
2001太空漫游,8.9,372341,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,1968,科幻 惊悚 冒险,暂无简介
纵横四海,8.8,459007,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,剧情 喜剧 动作 犯罪,暂无简介
记忆碎片,8.7,646870,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,2000,犯罪 剧情 悬疑 惊悚,暂无简介
卢旺达饭店,8.9,355247,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,剧情 传记 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。
无敌破坏王,8.7,588830,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,2012,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。
末路狂花,9.0,312153,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,1991,犯罪 剧情 惊悚,暂无简介
小偷家族,8.7,870934,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky / 安藤樱 Sa...,2018,剧情 犯罪 家庭,我们组成了家。
冰川时代,8.6,663104,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,暂无主演信息,2002,喜剧 动画 冒险,暂无简介
牯岭街少年杀人事件,8.9,344033,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,剧情 犯罪,暂无简介
恐怖游轮,8.5,947516,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,2009,剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。
岁月神偷,8.7,600690,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,剧情 家庭,岁月流逝，来日可追。
东京教父,9.0,270997,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,剧情 喜剧 动画,暂无简介
忠犬八公物语,9.2,211058,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai /...,1987,剧情,暂无简介
高山下的花环,9.5,134886,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),剧情 战争,暂无简介
魔女宅急便,8.7,502313,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re...,1989,动画 奇幻 冒险,暂无简介
荒蛮故事,8.8,477408,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,2014,剧情 喜剧 犯罪,始于荒诞，止于更荒诞。
遗愿清单,8.7,511618,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,8.7,524355,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,剧情 喜剧,人们可以登上月球，却永远无法探索人们内心的宇宙。
贫民窟的百万富翁,8.6,787825,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,2008,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,8.6,615627,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,剧情 动作 爱情 武侠 古装,暂无简介
你看起来好像很好吃,8.9,360123,藤森雅也 Masaya Fujimori,山口胜平 Kappei Yamaguchi / 爱河...,2010,剧情 动画 儿童,感情不分食草或者食肉。
源代码,8.6,894664,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,8.7,594635,乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里,8.9,331058,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,剧情 犯罪,坚硬的信仰。
爆裂鼓手,8.6,660530,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,2014,剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
芙蓉镇,9.3,171583,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,剧情 爱情,暂无简介
城市之光,9.3,163183,Charles Chaplin,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,喜剧 剧情 爱情,暂无简介
波西米亚狂想曲,8.6,663167,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,剧情 传记 同性 音乐,暂无简介
黑天鹅,8.6,822954,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,2010,剧情 惊悚,黑暗之美。
花束般的恋爱,8.6,758597,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,剧情 爱情,暂无简介
青蛇,8.6,570365,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,剧情 爱情 奇幻 古装,暂无简介
爱乐之城,8.4,1041263,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,剧情 爱情 歌舞,暂无简介
终结者2：审判日,8.8,368385,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,动作 科幻,暂无简介
初恋这件小事,8.5,1027896,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,暂无主演信息,2010,剧情 喜剧 爱情,黑小鸭速效美白记。
哈利·波特与死亡圣器(上),8.6,660085,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,奇幻 冒险,最忠于原著的一部。
白日梦想家,8.6,593100,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,剧情 喜剧 冒险,暂无简介
雨人,8.7,430464,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,1988,剧情,暂无简介
人工智能,8.7,483008,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,2001,剧情 科幻,暂无简介
新龙门客栈,8.7,485739,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,动作 爱情 武侠 古装,暂无简介
无耻混蛋,8.7,527715,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ...,2009,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
真爱至上,8.5,785178,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,2003,喜剧 剧情 爱情,暂无简介
虎口脱险,8.9,282307,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,1966,喜剧 战争,暂无简介
崖上的波妞,8.6,548388,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,动画 奇幻 冒险,暂无简介
恋恋笔记本,8.5,723815,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,2004,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
罗生门,8.8,343209,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,1950,剧情 犯罪 悬疑,暂无简介
千钧一发,8.8,331038,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,1997,剧情 科幻 惊悚,暂无简介
大红灯笼高高挂,8.8,338580,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,剧情,暂无简介
彗星来的那一夜,8.6,648995,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,2013,科幻 悬疑 惊悚,小成本大魅力。
海边的曼彻斯特,8.6,616912,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,2016,剧情 家庭,我们都有权利不与自己的过去和解。
哈利·波特与凤凰社,8.5,658699,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,奇幻 冒险,暂无简介
黑客帝国2：重装上阵,8.7,438049,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,暂无主演信息,2003,动作 科幻,暂无简介
火星救援,8.5,798607,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,剧情 科幻 冒险,暂无简介
萤火虫之墓,8.7,427512,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,1988,动画 剧情 战争,暂无简介
奇迹男孩,8.6,584304,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,剧情 儿童 家庭,世界不完美，爱会有奇迹。
战争之王,8.7,399911,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,剧情 犯罪,做一颗让别人需要你的棋子。
千年女优,8.8,302164,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,动画 剧情 爱情,暂无简介
步履不停,8.8,308174,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
血钻,8.7,408364,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。
谍影重重2,8.7,382475,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,动作 悬疑 惊悚,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,8.6,728230,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,暂无主演信息,2018,动作 科幻 动画 冒险,暂无简介
魂断蓝桥,8.8,299845,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,剧情 爱情 战争,暂无简介
房间,8.8,390062,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
冰雪奇缘,8.5,770283,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,2013,喜剧 动画 奇幻 歌舞,暂无简介
谍影重重,8.6,465899,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,动作 悬疑 惊悚,暂无简介
弱点,8.7,342538,约翰·李·汉考克 John Lee Hancock,桑德拉·布洛克 Sandra Bu...,2009,剧情 家庭 传记 运动,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
隐藏人物,8.9,252461,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,2016,剧情 传记 历史,暂无简介
哪吒之魔童降世,8.4,2009412,饺子 Yu Yang,吕艳婷 Yanting Lü / 囧森瑟夫 Joseph / 瀚墨 M...,2019,剧情 喜剧 动画 奇幻,暂无简介
机器人之梦,9.0,324381,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda / 阿...,2023,剧情 动画 音乐,暂无简介
